,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
86182,0.931,0.779,25.387,1536.0,-339.6,18.198,18.744,17.506,2,0.6920000000000002,0.5459999999999994,1.2379999999999995
98714,5.152,-0.654,11.844,560.8,-367.8,19.429,19.992,18.794,2,0.634999999999998,0.5630000000000024,1.1980000000000004
409,0.822,1.37,12.141,-1.8,-58.9,19.199,19.149,19.226,0,-0.0269999999999974,-0.0500000000000007,-0.0769999999999981
104646,0.664,-0.595,11.135,266.2,-367.5,16.413,16.431,16.368,2,0.0450000000000017,0.0180000000000006,0.0630000000000023
20392,6.144,-0.463,11.698,74.8,60.9,16.615,16.612,16.631,0,-0.0160000000000017,-0.0030000000000001,-0.0190000000000019
52213,4.925,-0.213,12.589,68.0,-127.0,16.765,16.828,16.611,1,0.1539999999999999,0.0629999999999988,0.2169999999999987
41097,5.911,-0.554,17.278,216.4,-278.6,19.003,19.594,18.309,1,0.6939999999999991,0.5910000000000011,1.285
46411,5.585,-0.941,23.978,-41.6,-217.8,14.562,14.557,14.574,1,-0.0120000000000004,-0.004999999999999,-0.0169999999999994
68932,1.293,-0.339,19.213,339.1,127.8,18.577,19.065,17.876,1,0.7010000000000005,0.4879999999999995,1.189
34916,3.9,1.041,13.538,-163.3,41.6,18.572,18.821,18.097,0,0.4749999999999978,0.2490000000000023,0.7240000000000002
54361,4.621,-0.856,19.937,-71.0,-144.7,18.768,19.405,18.058,1,0.7100000000000009,0.6370000000000005,1.3470000000000013
43809,0.315,-1.335,15.926,14.0,97.3,19.118,19.534,18.454,1,0.6639999999999979,0.4160000000000003,1.0799999999999983
8402,3.597,-0.027,12.443,-2.5,-219.2,19.281,19.633,18.731,0,0.5499999999999972,0.3520000000000003,0.9019999999999976
50286,5.774,-0.654,28.229,-255.7,-142.7,17.003,17.378,16.442,1,0.5609999999999999,0.375,0.936
70056,2.618,0.348,13.765,33.9,-61.5,19.129,19.701,18.49,1,0.6390000000000029,0.5719999999999992,1.211000000000002
104789,1.627,0.726,17.475,35.0,-160.0,19.643,20.189,18.867,2,0.7759999999999998,0.5459999999999994,1.3219999999999992
75446,5.549,0.158,23.773,1087.3,-995.8,19.008,19.547,18.239,2,0.7689999999999984,0.5390000000000015,1.3079999999999998
84149,3.603,0.478,24.387,-1277.4,826.9,18.305,18.849,17.621,2,0.684000000000001,0.5440000000000005,1.2280000000000015
35558,0.463,1.062,13.612,161.1,-46.1,19.412,19.653,19.028,0,0.3840000000000003,0.2409999999999996,0.625
24575,0.655,-0.736,23.23,493.1,-87.5,17.742,18.207,17.19,0,0.5519999999999996,0.4649999999999998,1.0169999999999997
15752,5.715,0.018,15.104,-34.7,-120.7,18.599,18.827,18.079,0,0.5199999999999996,0.2280000000000015,0.7480000000000011
58213,3.045,-0.622,16.952,-148.2,-15.4,19.723,20.184,19.268,1,0.4549999999999983,0.4610000000000021,0.9160000000000004
40010,0.117,-0.692,17.946,48.2,-182.8,18.918,19.441,18.269,1,0.6490000000000009,0.5229999999999997,1.1720000000000006
85823,4.855,-0.045,22.55,266.0,-838.0,17.584,17.981,17.017,2,0.5670000000000002,0.397000000000002,0.9640000000000022
103305,1.959,1.072,28.909,-728.0,-2108.5,13.565,13.508,13.681,2,-0.1159999999999996,-0.0570000000000003,-0.173
76636,4.955,0.002,16.834,-45.1,-601.9,19.685,20.372,18.948,2,0.7369999999999983,0.6870000000000012,1.4239999999999997
