,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
104284,3.882,0.779,25.767,-1333.2,-982.5,20.051,20.464,19.308,2,0.7429999999999986,0.4130000000000002,1.1559999999999988
22433,2.038,-0.371,21.39,-48.6,-130.5,18.762,19.165,18.165,0,0.5970000000000013,0.4029999999999987,1.0
9281,0.831,-0.937,10.881,80.7,-24.3,18.967,19.309,18.527,0,0.4399999999999977,0.3420000000000023,0.782
88285,2.924,0.63,15.192,-314.4,-1149.1,19.771,20.361,19.055,2,0.7160000000000011,0.5899999999999999,1.306000000000001
56828,1.156,1.068,15.211,141.6,-106.6,19.753,20.583,19.069,1,0.684000000000001,0.8299999999999983,1.5139999999999991
84511,3.047,0.304,11.676,-421.0,-254.5,19.588,20.008,18.841,2,0.7469999999999999,0.4199999999999981,1.166999999999998
15605,5.758,-0.368,17.925,12.2,-112.0,18.376,18.732,17.806,0,0.5700000000000003,0.3559999999999981,0.9259999999999984
8956,6.137,1.346,65.512,1030.5,-153.4,14.713,14.977,14.278,0,0.4349999999999987,0.2640000000000011,0.6989999999999998
40635,2.948,0.221,19.542,62.4,-216.8,18.917,19.377,18.194,1,0.7230000000000025,0.4599999999999973,1.1829999999999998
7107,3.842,0.14,15.195,-56.4,-49.4,17.281,17.414,17.005,0,0.2759999999999998,0.1330000000000026,0.4090000000000025
93142,5.6,-1.468,21.628,329.3,-1468.6,19.324,19.664,18.595,2,0.7290000000000028,0.3399999999999998,1.0690000000000026
77960,2.774,0.32,13.144,-864.6,-129.4,19.678,20.331,18.994,2,0.684000000000001,0.6529999999999987,1.3369999999999995
105392,2.596,-0.693,18.607,199.8,-310.2,18.283,18.743,17.685,2,0.5980000000000025,0.4599999999999973,1.0579999999999998
103230,2.353,0.827,12.944,180.9,-559.4,18.92,19.353,18.261,2,0.6590000000000025,0.4329999999999998,1.0920000000000023
20658,3.257,0.887,16.134,-71.3,31.4,15.883,15.828,15.942,0,-0.059000000000001,-0.0549999999999997,-0.1140000000000007
85787,5.604,-0.719,11.055,-335.8,-390.7,19.134,19.608,18.566,2,0.5680000000000014,0.4740000000000002,1.0420000000000016
59395,6.243,-0.698,18.971,-213.2,-132.8,18.49,19.032,17.821,1,0.6689999999999969,0.5420000000000016,1.2109999999999983
85527,5.206,0.332,25.796,952.4,-884.8,17.922,18.412,17.248,2,0.6739999999999995,0.4899999999999984,1.163999999999998
39623,5.89,0.929,14.861,235.2,149.8,19.675,20.163,18.915,1,0.7600000000000016,0.4879999999999995,1.248000000000001
74485,3.256,-0.112,23.069,-1382.2,-246.7,18.579,19.266,17.891,2,0.6880000000000024,0.6869999999999976,1.375
46138,4.624,0.554,21.176,48.9,74.0,18.682,19.131,18.071,1,0.6109999999999971,0.4490000000000016,1.0599999999999987
19653,3.027,0.922,31.682,-469.6,344.5,16.347,16.636,15.897,0,0.450000000000001,0.2889999999999979,0.738999999999999
88314,0.764,-1.024,16.334,-49.2,-922.7,18.654,19.095,18.063,2,0.5910000000000011,0.4409999999999989,1.032
29119,2.781,1.201,15.806,-144.4,-75.6,18.822,19.228,18.241,0,0.5809999999999995,0.4060000000000023,0.987000000000002
98298,5.603,-1.017,10.202,-256.7,-88.6,16.753,16.792,16.662,2,0.091000000000001,0.0390000000000014,0.1300000000000025
99806,3.857,-1.004,16.392,-933.0,-1064.4,19.419,19.954,18.715,2,0.7040000000000006,0.5350000000000001,1.2390000000000008
91474,6.052,-0.504,13.874,880.8,-1033.9,18.935,19.494,18.292,2,0.6429999999999971,0.559000000000001,1.2019999999999982
45028,0.688,0.979,14.055,264.5,-93.2,19.05,19.549,18.421,1,0.6290000000000013,0.4989999999999988,1.128
20913,2.184,-0.348,10.396,51.8,-83.2,18.704,18.909,18.368,0,0.3360000000000021,0.2049999999999983,0.5410000000000004
59182,0.084,-0.282,19.781,231.6,-296.0,18.457,18.9,17.818,1,0.6389999999999993,0.4429999999999978,1.0819999999999972
54215,1.217,-0.631,51.407,260.1,-650.4,16.833,17.399,16.112,1,0.7210000000000001,0.5660000000000025,1.2870000000000026
781,2.313,-0.322,10.335,33.8,-75.4,18.734,18.924,18.31,0,0.424000000000003,0.1899999999999977,0.6140000000000008
77133,5.46,-0.004,46.151,-409.1,-4334.3,17.14,17.725,16.411,2,0.7289999999999992,0.5850000000000009,1.314
32229,1.807,1.457,11.486,-31.9,12.0,16.335,16.342,16.315,0,0.0199999999999995,0.0069999999999978,0.0269999999999974
5397,2.383,0.175,23.76,314.3,-235.4,17.756,18.155,17.183,0,0.5730000000000004,0.3990000000000009,0.9720000000000012
24522,0.621,1.412,12.215,-9.8,-27.1,19.473,19.866,19.005,0,0.4679999999999999,0.3930000000000007,0.8610000000000007
102553,4.508,-0.178,15.181,-640.0,-347.6,17.715,17.978,17.292,2,0.4229999999999982,0.2630000000000017,0.6859999999999999
27146,5.83,0.423,12.114,-10.4,-84.3,19.29,19.762,18.685,0,0.6050000000000004,0.4720000000000013,1.0770000000000015
66501,0.684,-0.374,11.175,214.8,-164.8,18.855,19.135,18.403,1,0.4520000000000017,0.2800000000000011,0.7320000000000029
24802,3.085,-0.474,12.473,76.9,-119.3,18.905,19.226,18.361,0,0.5440000000000005,0.3209999999999979,0.8649999999999984
15306,2.969,0.151,13.376,-104.4,-75.5,17.416,17.527,17.206,0,0.2100000000000008,0.1110000000000006,0.3210000000000015
27058,4.569,1.051,26.073,15.9,234.9,14.192,14.165,14.252,0,-0.0600000000000005,-0.027000000000001,-0.0870000000000015
100038,5.057,1.073,27.79,369.3,1759.0,16.296,16.528,15.89,2,0.4059999999999988,0.2319999999999993,0.6379999999999981
18356,5.313,1.144,10.557,26.4,-75.2,19.479,19.872,18.901,0,0.5779999999999994,0.3930000000000007,0.971
35010,3.521,-0.118,23.599,-399.6,-347.9,17.941,18.364,17.337,0,0.6039999999999992,0.4230000000000018,1.027000000000001
51242,2.996,0.18,17.786,754.5,-371.2,19.161,19.546,18.544,1,0.6170000000000009,0.384999999999998,1.001999999999999
57820,3.65,0.13,15.192,-126.6,-89.9,14.314,14.206,14.498,1,-0.1839999999999992,-0.1080000000000005,-0.2919999999999998
77163,2.849,0.528,19.671,685.3,-1937.1,16.508,16.666,16.212,2,0.2959999999999994,0.1580000000000012,0.4540000000000006
30903,5.803,-0.275,13.585,23.9,-96.0,18.843,19.061,18.452,0,0.3909999999999982,0.2179999999999999,0.6089999999999982
81748,5.008,-0.324,12.476,-38.8,-415.7,19.322,19.747,18.692,2,0.629999999999999,0.4250000000000007,1.0549999999999995
104632,3.131,-0.488,10.972,-44.8,-556.1,18.075,18.265,17.721,2,0.3539999999999992,0.1900000000000012,0.5440000000000005
78367,5.512,-0.872,13.427,-328.9,-100.3,19.708,20.209,19.13,2,0.5779999999999994,0.5010000000000012,1.0790000000000006
22966,2.481,-1.324,11.318,0.2,2.6,18.621,18.877,18.172,0,0.448999999999998,0.2560000000000002,0.7049999999999983
36068,3.4,0.411,16.611,-328.4,-172.2,19.294,19.729,18.64,1,0.6539999999999999,0.4349999999999987,1.0889999999999986
51690,5.552,-0.094,16.203,48.6,-469.2,18.845,19.29,18.174,1,0.6709999999999994,0.4450000000000003,1.1159999999999997
12386,2.931,-0.222,11.134,44.0,-138.1,19.262,19.557,18.655,0,0.6069999999999993,0.2949999999999981,0.9019999999999976
56110,5.38,-0.953,11.286,-16.9,86.9,19.023,19.328,18.519,1,0.5040000000000013,0.3049999999999997,0.809000000000001
9618,4.115,0.613,10.959,-168.3,-8.7,18.958,19.14,18.571,0,0.3869999999999969,0.1820000000000021,0.5689999999999991
23950,3.736,-1.153,26.998,-197.8,-227.5,18.008,18.472,17.339,0,0.6690000000000005,0.4640000000000022,1.133000000000003
6578,0.889,0.706,10.469,-74.7,50.2,19.516,19.871,18.92,0,0.5959999999999965,0.3550000000000004,0.950999999999997
67996,3.222,-0.263,15.142,-31.1,-58.6,19.182,19.667,18.545,1,0.6369999999999969,0.485000000000003,1.122
49532,5.574,-1.132,15.287,65.7,-155.4,19.375,19.981,18.689,1,0.6859999999999999,0.6060000000000016,1.2920000000000016
17970,2.637,-0.073,12.095,-78.6,59.5,19.232,19.659,18.669,0,0.5629999999999988,0.4269999999999996,0.9899999999999984
32702,5.458,0.422,11.631,-7.4,-32.5,17.996,18.21,17.672,0,0.323999999999998,0.2140000000000022,0.5380000000000003
4838,2.649,-0.415,24.987,42.8,-75.9,16.7,16.946,16.302,0,0.3979999999999997,0.2460000000000022,0.6440000000000019
43085,1.077,0.17,15.122,9.5,-151.4,19.079,19.56,18.397,1,0.6820000000000022,0.4809999999999981,1.1630000000000005
74736,4.614,-0.631,10.418,-178.7,-671.4,18.536,18.808,18.118,2,0.4180000000000028,0.2719999999999984,0.6900000000000013
52780,2.305,-0.549,24.259,99.4,-147.1,18.365,18.905,17.72,1,0.6449999999999996,0.5400000000000027,1.1850000000000025
62763,2.426,0.23,25.51,-348.0,-110.6,18.319,18.812,17.6,1,0.7189999999999976,0.4930000000000021,1.2119999999999995
22280,4.785,-0.885,15.931,130.6,-171.6,17.659,17.907,17.23,0,0.4289999999999985,0.2480000000000011,0.6769999999999996
87062,4.9,-0.989,18.254,31.0,-816.6,19.431,19.977,18.706,2,0.7250000000000014,0.5459999999999994,1.2710000000000008
79392,5.887,0.114,15.629,-954.3,-1145.4,19.838,20.55,19.02,2,0.8180000000000014,0.7119999999999997,1.5300000000000011
64158,5.338,0.771,19.407,467.1,201.7,18.807,19.375,18.101,1,0.7059999999999995,0.5680000000000014,1.274000000000001
197,4.501,-0.634,11.266,22.7,19.7,19.582,19.904,18.924,0,0.6580000000000013,0.3219999999999992,0.9800000000000004
52558,5.066,0.146,13.297,-181.1,-331.6,19.163,19.623,18.508,1,0.6550000000000011,0.4600000000000008,1.115000000000002
51809,3.076,-0.275,16.007,57.1,-114.8,18.048,18.336,17.547,1,0.5009999999999977,0.2880000000000002,0.7889999999999979
88610,3.113,0.648,22.325,-362.3,-1006.2,18.173,18.633,17.492,2,0.6809999999999974,0.4600000000000008,1.1409999999999982
45939,6.191,-0.952,12.427,365.8,-12.6,17.57,17.741,17.264,1,0.3060000000000009,0.1709999999999993,0.4770000000000003
102971,1.994,0.46,15.076,-471.7,-464.7,14.694,14.616,14.844,2,-0.1499999999999985,-0.0780000000000011,-0.2279999999999997
72860,2.39,-0.388,10.374,-480.7,-20.1,19.223,19.575,18.741,2,0.4819999999999993,0.3520000000000003,0.8339999999999996
103576,0.754,0.571,14.571,1227.8,-742.2,19.14,19.596,18.464,2,0.6760000000000019,0.4559999999999995,1.1320000000000014
40705,2.912,-0.203,43.113,328.9,-207.2,14.27,14.362,14.082,1,0.1879999999999988,0.0920000000000005,0.2799999999999993
14684,6.042,0.843,10.432,-50.1,-48.0,18.083,18.206,17.775,0,0.3079999999999998,0.1230000000000011,0.4310000000000009
95322,2.588,1.05,23.117,-39.5,-1968.4,19.427,20.18,18.481,2,0.945999999999998,0.7530000000000001,1.698999999999998
35763,5.499,-1.095,10.477,-140.4,-71.1,19.239,19.617,18.753,0,0.4860000000000006,0.3780000000000001,0.8640000000000008
105799,2.239,-0.215,15.642,301.4,-447.5,19.987,20.534,19.325,2,0.661999999999999,0.5470000000000006,1.2089999999999996
68903,2.805,0.544,35.361,206.0,-646.6,16.836,17.261,16.247,1,0.5889999999999986,0.4250000000000007,1.0139999999999991
56069,3.159,-1.422,16.511,-209.0,75.3,18.636,19.083,18.018,1,0.6179999999999986,0.4469999999999992,1.0649999999999975
4470,3.142,-0.226,22.975,-257.5,-222.5,17.658,18.032,17.12,0,0.5380000000000003,0.3739999999999988,0.911999999999999
55404,5.478,0.371,19.363,328.2,-48.7,18.51,18.958,17.89,1,0.620000000000001,0.4479999999999968,1.0679999999999978
14852,4.014,-0.75,12.859,-57.1,-214.1,19.501,19.914,18.803,0,0.6980000000000004,0.4130000000000002,1.1110000000000009
80629,2.148,0.564,17.711,115.2,-1450.8,18.864,19.439,18.121,2,0.7430000000000021,0.5749999999999993,1.3180000000000014
93430,5.606,-0.717,16.869,52.1,-828.2,19.365,19.943,18.643,2,0.7219999999999978,0.578000000000003,1.3000000000000007
1320,0.293,-0.649,17.05,165.0,7.8,18.889,19.288,18.219,0,0.6699999999999982,0.3990000000000009,1.068999999999999
92754,5.452,1.498,30.854,1817.2,2350.3,16.889,17.286,16.325,2,0.5640000000000001,0.397000000000002,0.961000000000002
52783,4.368,0.231,10.147,-162.1,-38.1,18.994,19.331,18.557,1,0.4370000000000011,0.3369999999999997,0.7740000000000009
101121,4.737,-0.386,17.253,-478.0,-627.1,19.011,19.542,18.29,2,0.7210000000000001,0.5310000000000024,1.2520000000000024
28983,4.914,1.238,14.35,21.7,146.6,18.949,19.337,18.333,0,0.6160000000000032,0.3879999999999981,1.0040000000000011
86099,3.672,0.415,19.008,-1989.4,-1007.5,19.674,20.308,18.883,2,0.7910000000000004,0.6340000000000003,1.4250000000000007
21720,2.834,-1.138,18.239,-151.3,59.2,18.264,18.638,17.682,0,0.5820000000000007,0.3740000000000023,0.9560000000000032
67826,4.711,0.572,16.976,-84.1,-217.7,19.005,19.49,18.313,1,0.6920000000000002,0.4849999999999994,1.1769999999999996
105635,0.132,0.671,19.62,761.0,-155.5,18.657,19.153,17.964,2,0.6930000000000014,0.4959999999999986,1.189
102100,5.78,-0.828,11.871,-66.5,-669.2,16.442,16.485,16.368,2,0.0740000000000016,0.0429999999999992,0.1170000000000008
72417,5.05,-0.528,15.86,-271.3,-383.6,19.455,19.785,18.846,1,0.6089999999999982,0.3300000000000018,0.939
95746,2.285,0.994,15.558,11.8,-474.1,19.376,19.84,18.655,2,0.7210000000000001,0.4639999999999986,1.1849999999999987
18551,3.18,0.052,27.579,-139.0,-238.0,17.659,18.118,17.035,0,0.6239999999999988,0.4589999999999996,1.0829999999999984
43284,0.612,0.797,22.016,-58.4,-44.4,18.805,19.332,18.086,1,0.7190000000000012,0.527000000000001,1.2460000000000022
51219,6.234,-1.444,15.551,535.9,-71.2,19.394,19.973,18.76,1,0.6339999999999968,0.5790000000000006,1.2129999999999974
8448,1.945,0.687,14.356,76.3,-178.7,19.247,19.688,18.549,0,0.6980000000000004,0.4409999999999989,1.1389999999999991
28855,1.294,-0.934,13.658,3.3,26.1,19.292,19.709,18.708,0,0.5840000000000032,0.416999999999998,1.0010000000000012
2518,3.898,1.266,11.423,-216.8,121.9,18.731,18.787,18.8,0,-0.068999999999999,0.0559999999999973,-0.0130000000000016
26953,2.973,0.438,17.732,-192.1,-202.4,19.138,19.7,18.385,0,0.7530000000000001,0.5619999999999976,1.3149999999999975
4976,5.374,1.252,12.317,29.1,-56.6,15.347,15.278,15.487,0,-0.1400000000000005,-0.068999999999999,-0.2089999999999996
108461,4.829,0.135,19.545,-136.6,-998.0,19.397,20.116,18.701,2,0.695999999999998,0.7190000000000012,1.4149999999999991
27274,4.38,-0.217,11.3,-53.8,-51.5,18.6,18.82,18.208,0,0.392000000000003,0.2199999999999988,0.6120000000000019
76638,4.734,-0.064,13.239,-262.4,-1234.5,19.329,19.7,18.703,2,0.6260000000000012,0.3709999999999986,0.997
16269,4.047,0.466,12.623,-150.9,98.1,17.689,17.76,17.496,0,0.1930000000000014,0.0710000000000015,0.2640000000000029
30500,1.097,0.897,15.238,121.6,68.2,18.141,18.293,17.864,0,0.2769999999999974,0.152000000000001,0.4289999999999985
57554,5.316,0.627,10.047,-30.7,14.9,17.186,17.244,17.023,1,0.1630000000000002,0.0579999999999998,0.221
106798,4.783,1.384,15.88,-822.0,-1165.1,19.291,19.817,18.585,2,0.7059999999999995,0.5259999999999998,1.231999999999999
106659,5.231,-0.976,35.785,-813.0,-1224.0,18.031,18.627,17.279,2,0.7519999999999989,0.5960000000000001,1.347999999999999
74519,2.231,0.037,21.728,-354.5,572.4,18.653,19.216,17.913,2,0.7399999999999984,0.5630000000000024,1.3030000000000008
94311,3.56,0.717,20.456,-2054.9,-106.2,19.343,19.856,18.634,2,0.7089999999999996,0.5130000000000017,1.2220000000000013
1686,4.151,-0.295,14.373,-114.7,-31.2,18.639,19.041,18.124,0,0.5150000000000006,0.402000000000001,0.9170000000000016
59324,1.873,0.115,10.251,-7.9,-114.4,19.348,19.669,18.784,1,0.5640000000000001,0.3210000000000015,0.8850000000000016
3398,5.691,-0.528,16.942,48.7,-12.5,16.954,16.941,16.968,0,-0.0139999999999993,-0.0130000000000016,-0.027000000000001
91756,4.878,0.202,13.142,-115.5,-1027.8,19.358,19.825,18.643,2,0.7149999999999999,0.4669999999999987,1.1819999999999986
3775,5.631,-1.197,10.184,107.2,-158.7,18.71,18.978,18.315,0,0.3949999999999996,0.2680000000000007,0.6630000000000003
98358,5.294,-0.111,13.865,195.8,-349.3,19.744,20.355,19.038,2,0.7059999999999995,0.6110000000000007,1.3170000000000002
53450,6.202,-0.446,13.182,111.6,-250.1,19.731,20.368,19.028,1,0.703000000000003,0.6369999999999969,1.34
61693,1.25,0.744,16.952,343.2,-110.5,16.85,17.023,16.562,1,0.2880000000000002,0.1729999999999982,0.4609999999999985
92208,2.191,0.478,29.198,544.4,-2455.0,18.084,18.682,17.357,2,0.7270000000000003,0.597999999999999,1.3249999999999993
46762,5.411,1.438,13.846,25.8,-138.3,19.451,19.9,18.859,1,0.5919999999999987,0.448999999999998,1.0409999999999968
68756,5.24,-1.188,52.237,-468.2,-133.0,19.562,20.169,18.926,1,0.6360000000000028,0.6069999999999993,1.243000000000002
70556,2.393,-0.029,12.795,-3.7,-119.6,18.655,18.991,18.153,1,0.5020000000000024,0.3359999999999985,0.838000000000001
93926,0.595,-0.377,12.978,800.1,-762.6,18.597,18.972,18.108,2,0.4890000000000007,0.375,0.8640000000000008
21866,2.92,-0.466,11.858,-35.7,-6.6,17.688,17.805,17.45,0,0.2379999999999995,0.1170000000000008,0.3550000000000004
61862,2.555,-0.779,19.443,-112.8,-66.9,19.077,19.552,18.432,1,0.6450000000000031,0.4749999999999978,1.120000000000001
51974,4.896,-0.052,10.249,22.7,51.2,17.75,17.88,17.515,1,0.2349999999999994,0.129999999999999,0.3649999999999984
92017,1.123,0.383,12.839,544.5,-666.5,17.295,17.432,17.002,2,0.2930000000000028,0.1369999999999969,0.4299999999999997
38086,5.934,0.846,17.611,116.2,-103.0,19.237,19.723,18.493,1,0.7439999999999998,0.4860000000000006,1.2300000000000004
97344,6.165,0.915,17.818,154.6,121.9,19.346,19.902,18.661,2,0.6849999999999987,0.5560000000000009,1.2409999999999997
13134,0.831,0.497,11.399,37.0,-31.8,18.527,18.605,18.363,0,0.1640000000000014,0.0779999999999994,0.2420000000000008
62893,1.159,0.982,19.152,263.1,-356.3,18.668,19.227,17.953,1,0.7149999999999999,0.559000000000001,1.274000000000001
20631,5.004,0.438,12.781,-62.8,8.0,19.534,20.099,18.96,0,0.5739999999999981,0.5650000000000013,1.1389999999999991
49316,2.25,-0.391,17.869,-7.2,-52.7,18.875,19.413,18.218,1,0.657,0.5380000000000003,1.1950000000000005
33718,1.1,-0.344,13.812,116.6,-164.6,19.261,19.735,18.55,0,0.7109999999999985,0.4740000000000002,1.1849999999999987
78107,4.654,0.004,11.606,-444.1,-737.5,18.548,18.812,18.022,2,0.5259999999999998,0.2640000000000029,0.7900000000000027
18484,6.179,0.736,10.027,90.2,5.4,18.15,18.322,17.874,0,0.2759999999999998,0.1720000000000006,0.4480000000000004
9200,2.147,-1.324,10.986,69.4,-49.9,19.502,19.779,18.934,0,0.5679999999999978,0.277000000000001,0.8449999999999989
101067,5.178,-0.069,13.751,-262.0,-543.3,19.639,20.097,18.856,2,0.7829999999999977,0.4580000000000019,1.2409999999999997
80397,0.47,0.89,21.398,218.3,263.7,17.487,17.829,16.971,2,0.5159999999999982,0.3420000000000023,0.8580000000000005
69943,5.672,-0.334,27.955,391.3,-433.1,16.683,16.988,16.203,1,0.4800000000000004,0.3049999999999997,0.7850000000000001
72888,4.864,1.456,11.298,-630.8,28.0,19.534,20.125,18.953,2,0.5809999999999995,0.5910000000000011,1.1720000000000006
74076,0.253,0.131,17.316,900.6,-974.1,19.792,20.397,19.015,2,0.777000000000001,0.6049999999999969,1.381999999999998
15133,1.768,-1.286,20.602,-53.7,30.6,16.524,16.6,16.369,0,0.1550000000000011,0.0760000000000005,0.2310000000000016
35858,0.418,-1.2,10.261,13.7,-6.9,18.377,18.468,18.187,0,0.1899999999999977,0.091000000000001,0.2809999999999988
1704,0.487,-0.907,11.693,21.2,-51.9,17.265,17.374,17.046,0,0.2190000000000012,0.1089999999999982,0.3279999999999994
39051,5.657,-0.741,10.925,173.7,-101.8,19.513,19.932,18.879,1,0.6340000000000003,0.4189999999999969,1.0529999999999973
62719,3.94,0.655,22.081,-150.5,-519.9,18.452,18.972,17.759,1,0.6930000000000014,0.5199999999999996,1.213000000000001
53571,5.334,-0.492,13.13,50.1,121.2,19.564,19.939,18.963,1,0.6009999999999991,0.375,0.9759999999999992
104827,3.117,-0.542,18.701,8.3,-118.6,19.109,19.739,18.327,2,0.782,0.629999999999999,1.411999999999999
10436,3.182,-0.748,15.85,-335.2,-5.5,19.084,19.465,18.558,0,0.5259999999999998,0.3810000000000002,0.907
11785,4.133,-0.639,23.17,-7.9,18.3,17.956,18.414,17.329,0,0.6269999999999989,0.4580000000000019,1.0850000000000009
89559,0.911,-0.421,16.883,781.6,-534.0,19.692,20.217,18.83,2,0.8620000000000019,0.5249999999999986,1.3870000000000005
84543,0.617,-0.204,20.209,1864.0,-1595.5,18.734,19.277,17.967,2,0.767000000000003,0.5429999999999993,1.3100000000000025
57335,0.258,-0.753,13.053,91.3,-138.4,15.942,15.941,15.93,1,0.0120000000000004,-0.0009999999999994,0.011000000000001
34250,2.66,0.523,15.949,-31.2,-147.7,15.704,15.719,15.671,0,0.0330000000000012,0.0149999999999987,0.048
108364,1.581,0.391,10.316,472.6,-571.8,19.207,19.595,18.771,2,0.4359999999999999,0.3879999999999981,0.8239999999999981
69137,3.625,0.297,13.617,68.9,-164.7,19.736,20.252,18.989,1,0.7469999999999999,0.5159999999999982,1.262999999999998
92592,0.2,0.198,14.227,661.3,-496.6,19.687,20.334,19.051,2,0.6360000000000028,0.6469999999999985,1.2830000000000013
74996,3.531,-0.844,10.44,-286.3,-248.8,19.375,19.814,18.78,2,0.5949999999999989,0.439,1.033999999999999
65022,6.257,-0.85,10.903,188.8,-56.7,18.874,19.186,18.312,1,0.5619999999999976,0.3120000000000011,0.8739999999999988
1570,0.73,-0.852,13.852,0.8,0.4,18.344,18.662,17.867,0,0.4770000000000003,0.3179999999999978,0.7949999999999982
15587,6.19,0.264,19.432,-51.2,-87.6,18.581,19.093,17.96,0,0.6209999999999987,0.5120000000000005,1.1329999999999991
100172,5.276,-1.283,15.68,-742.7,-1619.7,19.189,19.721,18.571,2,0.6179999999999986,0.532,1.1499999999999986
70881,4.884,0.863,21.816,-70.8,-108.1,18.485,19.044,17.813,1,0.6720000000000006,0.559000000000001,1.2310000000000016
41693,6.115,0.638,18.193,-248.7,-423.5,17.705,18.064,17.177,1,0.5279999999999987,0.3590000000000017,0.8870000000000005
106177,6.124,0.166,13.216,289.8,-289.9,19.757,20.308,19.047,2,0.7100000000000009,0.5509999999999984,1.2609999999999992
87536,3.26,1.074,15.227,-929.0,-205.1,19.083,19.668,18.374,2,0.7089999999999996,0.5850000000000009,1.2940000000000005
47018,5.752,-0.037,12.577,-53.3,-41.0,19.386,19.802,18.746,1,0.6400000000000006,0.4160000000000003,1.056000000000001
44508,1.562,0.96,10.402,-9.6,-96.8,19.237,19.641,18.698,1,0.5389999999999979,0.4039999999999999,0.9429999999999978
25702,1.9,0.298,14.064,196.1,-135.9,19.274,19.714,18.728,0,0.5459999999999994,0.4399999999999977,0.9859999999999972
85983,0.014,0.051,10.079,217.8,-587.8,18.375,18.597,17.993,2,0.3820000000000014,0.2220000000000013,0.6040000000000028
45878,0.322,-0.224,23.698,351.7,-197.0,18.011,18.493,17.321,1,0.6899999999999977,0.4819999999999993,1.171999999999997
97792,6.262,-0.919,91.128,5484.2,-5061.2,13.056,13.196,12.787,2,0.2689999999999983,0.1400000000000005,0.4089999999999989
94946,1.533,0.585,15.362,682.7,-1112.8,19.724,20.396,18.904,2,0.8200000000000003,0.6720000000000006,1.4920000000000009
52112,5.744,-0.39,15.389,102.9,-213.3,19.493,20.157,18.769,1,0.7240000000000002,0.6640000000000015,1.3880000000000017
30597,1.436,-0.662,19.857,197.8,-6.7,18.225,18.615,17.657,0,0.5680000000000014,0.389999999999997,0.9579999999999984
56706,5.322,0.3,12.306,69.9,8.9,17.65,17.821,17.344,1,0.3059999999999974,0.1710000000000029,0.4770000000000003
33950,5.147,0.679,15.814,6.0,-0.8,15.055,14.964,15.203,0,-0.1479999999999997,-0.0909999999999993,-0.238999999999999
81637,3.732,0.626,16.366,-647.5,61.5,19.738,20.532,19.087,2,0.6509999999999998,0.7940000000000005,1.4450000000000005
39081,1.692,-0.397,19.529,-80.8,-80.9,18.727,19.203,18.072,1,0.6550000000000011,0.4759999999999991,1.1310000000000002
16041,0.017,-0.012,17.564,99.7,14.1,18.27,18.47,17.85,0,0.4199999999999981,0.1999999999999993,0.6199999999999974
38069,3.83,0.631,11.233,-129.3,83.6,18.132,18.367,17.801,1,0.331000000000003,0.2349999999999994,0.5660000000000025
97129,5.235,-1.284,126.964,-6261.8,-6797.4,14.908,15.493,14.179,2,0.7289999999999992,0.5850000000000009,1.314
60034,3.034,-0.088,20.124,-225.7,-26.1,18.846,19.292,18.152,1,0.6939999999999991,0.4460000000000015,1.1400000000000006
49836,6.228,-0.448,13.673,80.0,-171.1,19.169,19.595,18.581,1,0.588000000000001,0.4259999999999984,1.0139999999999991
47691,6.174,-0.837,11.756,57.8,-148.4,19.366,19.764,18.702,1,0.6639999999999979,0.3979999999999997,1.0619999999999976
78824,0.925,-0.373,15.127,162.3,-906.3,19.361,19.958,18.671,2,0.6900000000000013,0.5969999999999978,1.286999999999999
97619,0.276,1.083,14.066,-374.2,126.7,15.621,15.609,15.634,2,-0.0129999999999999,-0.0120000000000004,-0.0250000000000003
41999,1.754,0.448,15.31,191.9,-331.2,19.603,20.242,18.894,1,0.7090000000000032,0.6389999999999993,1.3480000000000023
101804,5.152,0.115,10.374,-206.6,-543.5,18.571,18.799,18.119,2,0.4520000000000017,0.2279999999999979,0.6799999999999997
107700,5.172,-0.036,10.779,-39.5,-747.5,19.147,19.644,18.681,2,0.4659999999999975,0.4969999999999999,0.9629999999999974
19774,4.334,-0.287,14.236,-84.7,5.6,18.565,18.908,18.071,0,0.4939999999999998,0.3429999999999999,0.8369999999999997
45015,1.754,-0.396,22.449,418.6,3.8,18.51,19.093,17.785,1,0.7250000000000014,0.5829999999999984,1.3079999999999998
23521,0.42,-0.012,11.232,28.4,-45.1,19.042,19.437,18.508,0,0.5340000000000025,0.3949999999999996,0.929000000000002
44950,3.677,1.507,13.437,-95.2,-109.3,19.333,19.724,18.698,1,0.634999999999998,0.3910000000000018,1.0259999999999998
69975,1.995,-0.006,19.45,258.8,-333.0,18.812,19.409,18.157,1,0.6550000000000011,0.5969999999999978,1.251999999999999
33080,4.671,-0.579,11.635,-47.8,-105.0,14.998,14.861,15.273,0,-0.2750000000000003,-0.1369999999999986,-0.411999999999999
74554,4.316,-0.059,11.408,-614.5,-901.2,18.577,18.835,18.117,2,0.4600000000000008,0.2579999999999991,0.718
23557,0.43,-0.99,25.947,-68.5,-16.3,17.397,17.654,17.004,0,0.3929999999999971,0.2570000000000014,0.6499999999999986
101868,4.597,0.111,10.097,-69.0,-474.6,17.066,17.114,16.941,2,0.125,0.0480000000000018,0.1730000000000018
