Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumprimary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary,Circumsecondary
0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5
R,b,c,R,b,c,R,b,c,R,b,c,R,b,c,R,b,c,R,b,c,R,b,c,R,b,c,R,b,c
1.00E+05,-0.66,0.84,1.00E+05,-0.72,0.88,1.00E+05,-0.76,0.92,1.00E+05,-0.77,0.95,1.00E+05,-0.78,0.94,1.00E+05,-0.81,0.98,1.00E+05,-0.81,0.99,1.00E+05,-0.79,0.97,1.00E+05,-0.8,0.98,1.00E+05,-0.79,0.95
1.00E+06,-0.75,0.68,1.00E+06,-0.78,0.72,1.00E+06,-0.8,0.75,1.00E+06,-0.81,0.78,1.00E+06,-0.81,0.78,1.00E+06,-0.81,0.8,1.00E+06,-0.82,0.82,1.00E+06,-0.82,0.81,1.00E+06,-0.82,0.8,1.00E+06,-0.81,0.78
1.00E+07,-0.78,0.56,1.00E+07,-0.8,0.6,1.00E+07,-0.81,0.63,1.00E+07,-0.82,0.66,1.00E+07,-0.82,0.66,1.00E+07,-0.83,0.69,1.00E+07,-0.83,0.7,1.00E+07,-0.83,0.69,1.00E+07,-0.83,0.68,1.00E+07,-0.82,0.66
